Year,District Code,District Name,Neighborhood Code,Age,Immigrants,Emigrants
2017,1,Ciutat Vella,1,0-4,154,108
2017,1,Ciutat Vella,2,0-4,58,33
2017,1,Ciutat Vella,3,0-4,38,37
2017,1,Ciutat Vella,4,0-4,56,55
2017,2,Eixample,5,0-4,79,60
2017,2,Eixample,6,0-4,111,95
2017,2,Eixample,7,0-4,121,78
2017,2,Eixample,8,0-4,97,63
2017,2,Eixample,9,0-4,123,130
2017,2,Eixample,10,0-4,57,80
2017,3,Sants-Montjuïc,11,0-4,80,99
2017,3,Sants-Montjuïc,12,0-4,1,2
2017,3,Sants-Montjuïc,13,0-4,71,59
2017,3,Sants-Montjuïc,14,0-4,14,15
2017,3,Sants-Montjuïc,15,0-4,31,37
2017,3,Sants-Montjuïc,16,0-4,33,39
2017,3,Sants-Montjuïc,17,0-4,49,57
2017,3,Sants-Montjuïc,18,0-4,106,83
2017,4,Les Corts,19,0-4,103,73
2017,4,Les Corts,20,0-4,81,55
2017,4,Les Corts,21,0-4,36,16
2017,5,Sarrià-Sant Gervasi,22,0-4,20,16
2017,5,Sarrià-Sant Gervasi,23,0-4,87,61
2017,5,Sarrià-Sant Gervasi,24,0-4,72,28
2017,5,Sarrià-Sant Gervasi,25,0-4,59,30
2017,5,Sarrià-Sant Gervasi,26,0-4,141,82
2017,5,Sarrià-Sant Gervasi,27,0-4,74,64
2017,6,Gràcia,28,0-4,37,39
2017,6,Gràcia,29,0-4,18,16
2017,6,Gràcia,30,0-4,41,23
2017,6,Gràcia,31,0-4,88,104
2017,6,Gràcia,32,0-4,73,68
2017,7,Horta-Guinardó,33,0-4,48,44
2017,7,Horta-Guinardó,34,0-4,16,17
2017,7,Horta-Guinardó,35,0-4,72,71
2017,7,Horta-Guinardó,36,0-4,14,9
2017,7,Horta-Guinardó,37,0-4,66,65
2017,7,Horta-Guinardó,38,0-4,15,18
2017,7,Horta-Guinardó,39,0-4,15,18
2017,7,Horta-Guinardó,40,0-4,11,6
2017,7,Horta-Guinardó,41,0-4,11,7
2017,7,Horta-Guinardó,42,0-4,1,0
2017,7,Horta-Guinardó,43,0-4,50,38
2017,8,Nou Barris,44,0-4,51,36
2017,8,Nou Barris,45,0-4,66,49
2017,8,Nou Barris,46,0-4,64,35
2017,8,Nou Barris,47,0-4,3,1
2017,8,Nou Barris,48,0-4,23,33
2017,8,Nou Barris,49,0-4,6,7
2017,8,Nou Barris,50,0-4,57,26
2017,8,Nou Barris,51,0-4,33,19
2017,8,Nou Barris,52,0-4,56,44
2017,8,Nou Barris,53,0-4,22,25
2017,8,Nou Barris,54,0-4,5,4
2017,8,Nou Barris,55,0-4,47,25
2017,8,Nou Barris,56,0-4,5,9
2017,9,Sant Andreu,57,0-4,40,29
2017,9,Sant Andreu,58,0-4,5,5
2017,9,Sant Andreu,59,0-4,31,29
2017,9,Sant Andreu,60,0-4,90,70
2017,9,Sant Andreu,61,0-4,45,43
2017,9,Sant Andreu,62,0-4,17,19
2017,9,Sant Andreu,63,0-4,26,32
2017,10,Sant Martí,64,0-4,88,75
2017,10,Sant Martí,65,0-4,43,25
2017,10,Sant Martí,66,0-4,30,26
2017,10,Sant Martí,67,0-4,29,18
2017,10,Sant Martí,68,0-4,94,75
2017,10,Sant Martí,69,0-4,68,61
2017,10,Sant Martí,70,0-4,125,67
2017,10,Sant Martí,71,0-4,53,38
2017,10,Sant Martí,72,0-4,48,38
2017,10,Sant Martí,73,0-4,70,50
2017,99,No consta,99,0-4,0,0
2017,1,Ciutat Vella,1,9-May,133,85
2017,1,Ciutat Vella,2,9-May,46,20
2017,1,Ciutat Vella,3,9-May,26,23
2017,1,Ciutat Vella,4,9-May,39,26
2017,2,Eixample,5,9-May,59,42
2017,2,Eixample,6,9-May,81,44
2017,2,Eixample,7,9-May,75,60
2017,2,Eixample,8,9-May,63,34
2017,2,Eixample,9,9-May,91,53
2017,2,Eixample,10,9-May,43,37
2017,3,Sants-Montjuïc,11,9-May,60,57
2017,3,Sants-Montjuïc,12,9-May,2,1
2017,3,Sants-Montjuïc,13,9-May,54,41
2017,3,Sants-Montjuïc,14,9-May,13,9
2017,3,Sants-Montjuïc,15,9-May,22,14
2017,3,Sants-Montjuïc,16,9-May,27,21
2017,3,Sants-Montjuïc,17,9-May,42,40
2017,3,Sants-Montjuïc,18,9-May,79,45
2017,4,Les Corts,19,9-May,71,31
2017,4,Les Corts,20,9-May,44,43
2017,4,Les Corts,21,9-May,40,25
2017,5,Sarrià-Sant Gervasi,22,9-May,12,8
2017,5,Sarrià-Sant Gervasi,23,9-May,61,23
2017,5,Sarrià-Sant Gervasi,24,9-May,49,27
2017,5,Sarrià-Sant Gervasi,25,9-May,41,19
2017,5,Sarrià-Sant Gervasi,26,9-May,80,59
2017,5,Sarrià-Sant Gervasi,27,9-May,54,38
2017,6,Gràcia,28,9-May,28,13
2017,6,Gràcia,29,9-May,9,4
2017,6,Gràcia,30,9-May,24,10
2017,6,Gràcia,31,9-May,58,53
2017,6,Gràcia,32,9-May,34,36
2017,7,Horta-Guinardó,33,9-May,30,25
2017,7,Horta-Guinardó,34,9-May,13,8
2017,7,Horta-Guinardó,35,9-May,39,40
2017,7,Horta-Guinardó,36,9-May,4,5
2017,7,Horta-Guinardó,37,9-May,50,36
2017,7,Horta-Guinardó,38,9-May,16,11
2017,7,Horta-Guinardó,39,9-May,15,4
2017,7,Horta-Guinardó,40,9-May,6,5
2017,7,Horta-Guinardó,41,9-May,7,4
2017,7,Horta-Guinardó,42,9-May,3,1
2017,7,Horta-Guinardó,43,9-May,33,22
2017,8,Nou Barris,44,9-May,35,26
2017,8,Nou Barris,45,9-May,57,22
2017,8,Nou Barris,46,9-May,36,14
2017,8,Nou Barris,47,9-May,2,1
2017,8,Nou Barris,48,9-May,20,11
2017,8,Nou Barris,49,9-May,3,2
2017,8,Nou Barris,50,9-May,32,17
2017,8,Nou Barris,51,9-May,36,25
2017,8,Nou Barris,52,9-May,35,35
2017,8,Nou Barris,53,9-May,21,18
2017,8,Nou Barris,54,9-May,10,12
2017,8,Nou Barris,55,9-May,42,24
2017,8,Nou Barris,56,9-May,7,3
